user_id,username,email,address,password,user_type,date_registered,account_status
1,augueporttitor,pede.ac.urna@protonmail.edu,"{""street"":""123 Main St"",""city"":""City1"",""state"":""State1"",""postal_code"":""12345""}",facilisiseget,Personal,1/18/2021 1:14,Open
2,tortorInteger,amet.ante@icloud.com,"{""street"":""456 Elm St"",""city"":""City2"",""state"":""State2"",""postal_code"":""67890""}",sit,Personal,9/18/2020 16:58,Open
3,etlacinia,rhoncus.id@yahoo.com,"{""street"":""789 Oak St"",""city"":""City3"",""state"":""State3"",""postal_code"":""12345""}",sitamet,Personal,4/18/2021 11:03,Open
4,Sedid,semper.egestas@hotmail.net,"{""street"":""101 Pine St"",""city"":""City4"",""state"":""State4"",""postal_code"":""67890""}",neque,Personal,1/12/2024 10:06,Open
5,Aliquamrutrum,massa@outlook.org,"{""street"":""202 Cedar St"",""city"":""City5"",""state"":""State5"",""postal_code"":""12345""}",sociisnatoque,Personal,11/26/2022 7:01,Closed
6,ligulaAenean,proin.vel@outlook.org,"{""street"":""303 Maple St"",""city"":""City6"",""state"":""State6"",""postal_code"":""67890""}",arcuet,Personal,9/28/2021 8:00,Open
7,liberodui,lorem@aol.org,"{""street"":""404 Birch St"",""city"":""City7"",""state"":""State7"",""postal_code"":""12345""}",Integeridmagna,Personal,10/22/2021 23:41,Closed
8,anunc,luctus.felis.purus@aol.com,"{""street"":""505 Walnut St"",""city"":""City8"",""state"":""State8"",""postal_code"":""67890""}",ategestas,Personal,8/21/2022 21:41,Open
9,Maurisut,est@hotmail.org,"{""street"":""606 Ash St"",""city"":""City9"",""state"":""State9"",""postal_code"":""12345""}",nisiAeneaneget,Personal,6/5/2022 22:56,Closed
10,Nuncullamcorper,cursus.et@yahoo.couk,"{""street"":""707 Chestnut St"",""city"":""City10"",""state"":""State10"",""postal_code"":""67890""}",elementumpurus,Personal,11/16/2022 14:49,Open
11,Nullamenim,ante.lectus.convallis@hotmail.ca,"{""street"":""808 Spruce St"",""city"":""City11"",""state"":""State11"",""postal_code"":""12345""}",consequat,Personal,1/11/2021 5:14,Closed
12,velturpis,ipsum.primis@yahoo.couk,"{""street"":""909 Oak St"",""city"":""City12"",""state"":""State12"",""postal_code"":""67890""}",eleifendegestas,Personal,5/8/2020 2:06,Open
13,justoPraesent,amet.lorem@protonmail.edu,"{""street"":""1010 Pine St"",""city"":""City13"",""state"":""State13"",""postal_code"":""12345""}",infelisNulla,Personal,1/16/2021 0:18,Closed
14,molestietortor,purus.ac@google.net,"{""street"":""1111 Cedar St"",""city"":""City14"",""state"":""State14"",""postal_code"":""67890""}",anteiaculis,Personal,9/17/2022 0:46,Closed
15,gravidamolestie,fringilla.est@aol.ca,"{""street"":""1212 Maple St"",""city"":""City15"",""state"":""State15"",""postal_code"":""12345""}",velnisl,Personal,5/30/2023 12:49,Closed
16,Aliquamerat,ultricies.adipiscing.enim@hotmail.edu,"{""street"":""1313 Birch St"",""city"":""City16"",""state"":""State16"",""postal_code"":""67890""}",loremtristique,Personal,8/12/2022 15:12,Open
17,natoquepenatibus,tempus@yahoo.org,"{""street"":""1414 Walnut St"",""city"":""City17"",""state"":""State17"",""postal_code"":""12345""}",intempus,Personal,6/24/2020 4:30,Closed
18,urnaconvallis,enim@outlook.org,"{""street"":""1515 Ash St"",""city"":""City18"",""state"":""State18"",""postal_code"":""67890""}",imperdiet,Personal,1/2/2021 21:53,Closed
19,loremtristique,magna.et@hotmail.net,"{""street"":""1616 Chestnut St"",""city"":""City19"",""state"":""State19"",""postal_code"":""12345""}",placerateget,Personal,6/5/2021 16:48,Open
20,sollicitudinadipiscing,nunc.sollicitudin@yahoo.edu,"{""street"":""1717 Spruce St"",""city"":""City20"",""state"":""State20"",""postal_code"":""67890""}",Quisque,Personal,9/23/2021 18:05,Open
